LABELS;S_14;S_5;S_2;S_3;C_14;C_5;S_11;S_12;C_2;C_3;S_9;C_11;C_12;S_13;S_7;C_13;S_4;S_6;C_9;S_10;C_7;S_8;S_0;S_1;C_6;C_10;C_0;C_4;C_1;C_8
JOB ID;14;5;2;3;14;5;11;12;2;3;9;11;12;13;7;13;4;6;9;10;7;8;0;1;6;10;0;4;1;8
EVENT TYPE;0;0;0;0;1;1;0;0;1;1;0;1;1;0;0;1;0;0;1;0;1;0;0;0;1;1;1;1;1;1
TIME;1.07;2.5842391304347827;3.167550432276659;3.167550432276659;5.01;5.5;5.5;6.207161198288167;6.207161198288168;8.62;8.62;8.62;8.62;8.62;10.75;10.75;10.82;12.941642950509893;12.941642950509893;12.941642950509893;13.661230925737533;13.661230925737534;16.383642393541734;16.383642393541738;17.72993684839283;17.72993684839283;19.52;19.52;21.53;21.53
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26.212353035950812;0.0;0.0;55.18764696404919;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.338810248030711;-1.1368683772161603e-13;0.0;4.439356615985794;0.0;24.761833135983608;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;49.36066105563477;2.1854000000000013;0.0;3.1539389443652297;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;12.786599999999986;3.4006000000000043;0.0;4.907698716119889;16.745101283880125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.39247064049786;4.936373510061614;0.0;0.0;0.0;18.675742669136838;9.2355799602785;0.0;0.0;12.279833220025182;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;2.1465855907781037;0.0;6.780214409221896;1.8032000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.77427755925555;0.0;0.0;0.0;68.82256190609033;4.483160534654139;-1.1368683772161603e-13;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0892000000000053;0.0;19.75477805487813;2.7560219451218657;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26.761304728515313;13.234074491186249;0.0;0.0;17.59632078029847;0.0;19.75830000000002;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;47.340645527579525;0.0;0.6755000000000138;0.0;20.473854472420456;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.77829144107795;0.0;0.0;0.0;21.86096408646776;10.810744472454275;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;0.0;0.0;0.0;25.493161198288455;16.486838801711542;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;87.41;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;75.71195652173913;0.5191470586392697;0.0;9.678896419621594;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
